[00:00:33.320 --> 00:00:36.740]   Thank you.
[00:04:15.000 --> 00:04:21.160]   was so upset when he saw the house that he made us sign a disclaimer that we wouldn't hold him responsible if I went through
[00:04:21.160 --> 00:04:24.780]   with buying it. And I did. We both went through. I can't believe it.
[00:04:24.780 --> 00:04:30.000]   We bought that house and moved out. And as soon as I moved out there,
[00:04:30.000 --> 00:04:34.080]   I had this fantasy, or rather it had me, I would have to say. I wasn't aware of making it up.
[00:04:34.400 --> 00:04:42.320]   But as soon as I got out to this house, I would come down with a vile case of hepatitis, of all things, and be incapacitated.
[00:04:42.320 --> 00:04:48.720]   Not from the shellfish out there, no. But when I was leaving New York after 32 years, or 30 years of relatively good health,
[00:04:48.720 --> 00:04:54.640]   I go into the little deli across from my loft. Kathy calls it the dirty deli, a dute fingers deli.
[00:04:54.640 --> 00:04:59.960]   She won't go in it. But I go in that particular morning, and I'm escaping from New York last, and I have the salad bar.
[00:04:59.960 --> 00:05:04.480]   And the guy making the salad that morning just happened to have a little bit of poop under his fingernails.
[00:05:04.480 --> 00:05:12.360]   So I get out there, and I see myself with this fever laying there in this cherrywood sleigh bed.
[00:05:12.360 --> 00:05:17.040]   And my stepdaughter Marissa, of all people, is nursing me back with huge bowls of chicken soup, you see,
[00:05:17.040 --> 00:05:21.680]   which is spilling over the edges and going down between the whiteboard plank floors into the living room.
[00:05:21.680 --> 00:05:28.280]   And then one feverish night, when everyone in the family is asleep, I stagger out in a wild rainstorm,
[00:05:28.280 --> 00:05:34.960]   headed across the historic cemetery, not for the Wailing Church, but not for the Jesus and the Twelve Disciples,
[00:05:34.960 --> 00:05:40.280]   but for the 12-step program. And going across the cemetery in this wild wind and rain,
[00:05:40.280 --> 00:05:45.080]   when no one's allowed to be buried anymore, I fall down and perish there, and the family finds me.
[00:05:45.080 --> 00:05:48.760]   He gives me a secret burial, wraps me in garbage bags, and gives me a secret burial.
[00:05:48.760 --> 00:05:57.160]   They are beside Phoebe Niles, whose tombstone reads, "Phoebe Niles, aged 17 years, 8 months, 15 days, died October 23, 1804.
[00:05:57.160 --> 00:06:05.360]   Behold and see as you pass by, as I am now, so once, as you are now, so once was I.
[00:06:05.360 --> 00:06:12.600]   As I am now, so you must be. Prepare for death, and follow me."
[00:06:12.600 --> 00:06:16.600]   Where did this silly fantasy come from?
[00:06:16.600 --> 00:06:22.240]   Instead of death and hepatitis, we moved into the house.
[00:06:22.240 --> 00:06:29.240]   New life came. Cathy got pregnant. How did this happen?
[00:06:29.240 --> 00:06:43.240]   "I don't think I want this child. I'm happy with the new family configuration we have in our new home," I told my therapist.
[00:06:43.240 --> 00:06:49.520]   And she said, "You sound very clear now. You must go to Cathy now and tell her exactly what you've told me."
[00:06:49.520 --> 00:06:58.680]   So I raced to Cathy before I forgot what I told Martha, and said, "I don't think I want this child. I'm happy with our family configuration now and our new home."
[00:06:58.680 --> 00:07:07.800]   And Cathy goes, "Very well. If you feel you don't want any more children, and you're so sure of that, well, I am not going to use abortion as birth control, and I'm not going to have two operations.
[00:07:07.800 --> 00:07:15.000]   If I have to get an abortion, I am not also going to have my troops tied. You've got to get a vasectomy."
[00:07:15.000 --> 00:07:25.000]   I said I would look into it. And I did. And I came back with an alternative plan.
[00:07:25.000 --> 00:07:33.000]   If we have an amnio and find out that it is not indeed a girl and not a boy, we'll go through with it.
[00:07:33.000 --> 00:07:42.000]   "But no, no, no, not another boy. My father had three. I saw what we did to him. I don't want to be taken down."
[00:07:42.000 --> 00:07:47.000]   Cathy goes, "I'm not playing with life. No way. Not that. You've got to make up your mind on this."
[00:07:47.000 --> 00:07:54.000]   So I go back into therapy now. It's a very intense session. And I have a breakthrough or breakdown, really. I just start to weep and cry.
[00:07:54.000 --> 00:08:01.000]   And say, "Martha, I am really too old to opt for termination of this fetus, to opt for death over life. I'm going to go through with it no matter what it means."
[00:08:01.000 --> 00:08:10.000]   She said, "You sound clear now, Spalding. I want you to remember this clarity. So in times to come when the going gets rough, you'll remember this day and how you spoke to me."
[00:08:10.000 --> 00:08:18.000]   So I go down to meet Cathy with couple therapy. God, we overload therapy in this situation. We're going to couples as well as singles.
[00:08:18.000 --> 00:08:28.000]   And Cathy is ready to do my bidding, you know, provided I help her give away the clothing that she's saved from the other two children for the third one she always had planned for, you see.
[00:08:28.000 --> 00:08:43.000]   And I totally surprised her by saying that I had this change of mind. And it was a great celebration. We celebrated with our therapist. And everyone was very positive, I have to say.
[00:08:43.000 --> 00:08:52.000]   All our friends were positive in backing us and this child. I think the only kind of non-positive, not supportive voice I ran into was on the beaches of Martha's Vineyard, of all things.
[00:08:52.000 --> 00:09:01.000]   We were down there. I didn't take it personally because I hardly knew the man, but I was down there performing my monologue as a slippery slope at the Vineyard Playhouse.
[00:09:01.000 --> 00:09:09.000]   And this man came up to me on the beach and said, "You look familiar." I said, "Well, I am."
[00:09:09.000 --> 00:09:23.000]   "No, no, no," he said. "Don't you live next door to me in Providence, Rhode Island?" "No, no, no. I'm an actor and I do small roles and people see me sometimes and they think I'm their neighbor. They can't play." "No, no, you're an actor."
[00:09:23.000 --> 00:09:33.000]   "Oh, I get it. Yeah, you did that slippery slope program at the Vineyard Playhouse. The one where you're with your girlfriend for a long time, you get married and then you make your next door neighbor pregnant and you have a nervous break."
[00:09:33.000 --> 00:09:43.000]   "I remember it, please. Don't go through it here, please, with me again. I know it by heart."
[00:09:43.000 --> 00:09:55.000]   "What I was going to say is that you were the one that had the nervous breakdown. It seems the two women should have had at least one nervous breakdown. Tell me, is that the woman that had the baby over there? Are you with her?"
[00:09:55.000 --> 00:10:02.000]   I said, "Yes, that's her." "And she's pregnant again?" "Yes, she is." "Oh, you really go in for total immersion, don't you?"
[00:10:02.000 --> 00:10:13.000]   Then he turns to me and says, "Do I look familiar?" I said, "Not really, I can't place you." He introduces himself as, "Turn out it's Peter Kramer who wrote Listening to Prozac, you see."
[00:10:13.000 --> 00:10:26.000]   Now, Kathy's sister is visiting from Stowe, Vermont and she thinks he's Martin Short and is waving, "Hi, I just loved you and father of the bride."
[00:10:26.000 --> 00:10:36.000]   We're sure it's going to be a girl. Kathy's sure we're going to name it Eliza Ann Gray. She's sure because there's no morning sickness. She's carrying it higher as she did with her daughter, Marissa.
[00:10:36.000 --> 00:10:44.000]   Street people stop and touch her and bless her and say, "It's a girl." Her grandfather does the same and she's craving peanut butter just as she did with her daughter, Marissa.
[00:10:44.000 --> 00:10:54.000]   Now, we are called in for genetic counseling. I wasn't ready for this, Kathy, because she was 35 and I because I'm ready for genetic counseling, I guess.
[00:10:54.000 --> 00:11:05.000]   I didn't go through it with my first child because he, well, I was married at the time, so it was a very difficult time and I just wasn't available for the genetic counseling.
[00:11:05.000 --> 00:11:14.000]   Now, we're going in. I am amazed, first of all, by how many questions about psychopathology they're asking. I had never really paid attention to my family.
[00:11:14.000 --> 00:11:20.000]   I think I was so myopic from my mother's madness and suicide that I didn't think about the other relatives, you see.
[00:11:20.000 --> 00:11:25.000]   And I said, "Well, come to think of it, my mother's mother, my grandmother, Horton, clearly had Tourette's."
[00:11:25.000 --> 00:11:31.000]   But we never talked about it because she was a Christian scientist, you see, and she was in denial.
[00:11:31.000 --> 00:11:39.000]   But she had this little sucking of air, like, "We'll all be safe in heaven one day, dear."
[00:11:39.000 --> 00:11:47.000]   And her aunt, her sister, my Aunt Belle, was a spinster that lived up in Scituate, Rhode Island, and she was a dowser for a living. That's how she made a living.
[00:11:47.000 --> 00:11:52.000]   She could take an apple branch and break it off and walk around the field, and when there was surface water, that branch would go right down.
[00:11:52.000 --> 00:11:59.000]   And they'd dig a well there, and they paid her for this. Only she would get moonstruck occasionally during full moons and a bit wild and wide-eyed.
[00:11:59.000 --> 00:12:09.000]   And one full moon, she filled her pants pockets with rocks and walked in the air against the bay, but didn't sink because her bloom was filled up with air and she floated.
[00:12:09.000 --> 00:12:20.000]   Kathy says, "Come to think of it, I have an uncle in San Antonio, Texas that can't go out of the house because soda machines give him orders."
[00:12:20.000 --> 00:12:26.000]   I say, "Nothing good nor bad, but thinking makes it so. Onward and upward."
[00:12:26.000 --> 00:12:34.000]   January 16th at 3 a.m., the contractions begin. We were told it was going to be a wild snowstorm, but it was rain instead.
[00:12:34.000 --> 00:12:43.000]   It was a wild, wild Soweaster coming in, and the trees were twisting. It looked like a Currier Ives Disney Fantasia as we drove racing nervously to the hospital.
[00:12:43.000 --> 00:12:48.000]   We get to the hospital and things are kind of weird, as they were when we first went in in July for the amnio.
[00:12:48.000 --> 00:12:58.000]   The hospital then was in a state of emergency. Kathy and I had been walking on the beach then in July, and it was early in the morning, and a lone man was looking out at the ocean, crying, weeping.
[00:12:58.000 --> 00:13:07.000]   We thought someone had drowned. And he turns to us and says, "We can never fly safely again. Someone has just blown up TWA Flight 800 to Paris."
[00:13:07.000 --> 00:13:12.000]   And we get to the hospital and it's a state of emergency, expecting survivors or bodies to be brought in.
[00:13:12.000 --> 00:13:21.000]   And now in this wild storm, the hospital is strange again, because the head nurse explains to us there had been a stillborn incident that night, and no one understood how it could have happened.
[00:13:21.000 --> 00:13:33.000]   And also, they're a little weeded out by the fact that Kathy has brought her daughter, Marissa. And Marissa is 10 years old, and they feel that that's not appropriate, that she was going to freak out if she sees a child being born.
[00:13:33.000 --> 00:13:43.000]   Kathy said, "It's fine. It's perfectly fine." I never expected to be having a child in Southampton, Long Island. I never expected to have children.
[00:13:43.000 --> 00:13:53.000]   I mean, I thought if I ever was going to have children, it would be in a teepee in Northern California. You know, basically my life has been what I've been doing while preparing to move to Northern California.
[00:13:53.000 --> 00:14:02.000]   But now it's getting kind of really real. And we're all in there, and Kathy's assuring the nurses it's going to be a quick delivery, because the other two children came very quickly.
[00:14:02.000 --> 00:14:07.000]   Well, in my opinion, it's not. We're well into the next day. The storm is still raging.
[00:14:07.000 --> 00:14:13.000]   Eleven hours into this thing, Kathy can only find one comfortable position. She's on all fours like a wild animal.
[00:14:13.000 --> 00:14:22.000]   The nurses are rolling their eyes and their head. Marissa's dozing in the corner. I'm trying to get the hermetically sealed window open, knowing I'm not in Northern California.
[00:14:22.000 --> 00:14:30.000]   And it begins to come, and I just have time to get the scrubs on and roll Kathy over. I've got one knee back. The nurse has the other knee back.
[00:14:30.000 --> 00:14:39.000]   And I look down, and oh my God. It looked like she'd given birth to a dead beaver.
[00:14:39.000 --> 00:14:46.000]   What is that blue hairy football trying to push out, and how is it going to fit through that pow?
[00:14:46.000 --> 00:14:53.000]   And I yell, "Look at the balls on that girl."
[00:14:53.000 --> 00:15:03.000]   And Marissa's flashing away with her little camera, and she drops it and goes, "All right. Now I get my own room."
[00:15:03.000 --> 00:15:12.000]   And I think, "Death by boydom. They will take me down."
[00:15:12.000 --> 00:15:18.000]   Whenever I'm at home, I don't have any hi-fi system. I just carry this little radio around this portable, you know, listening.
[00:15:18.000 --> 00:15:24.000]   Sometimes I'll turn up something right here. I remember my friend Ken was out, and we heard, "Well, that was over. William Burroughs.
[00:15:24.000 --> 00:15:30.000]   "81 years of injury in William Burroughs in Los Angeles. Oh, William Burroughs." I said, "Oh my God. Turn it up, Ken. William Burroughs has died. Oh my God. I can't believe it."
[00:15:30.000 --> 00:15:35.000]   "Oh, he turned it up?" "Nope. He's having an art opening in Los Angeles at 81."
[00:15:35.000 --> 00:15:45.000]   I said, "Will you look at that? My father died at 81. Look at William Burroughs. My God, he had sex with over 300 Arab boys, shot his wife dead in the head, was addicted to heroin for most of his adult life.
[00:15:45.000 --> 00:15:58.000]   He's having an art opening at 81. My father died at 81." And Ken goes, "Yeah, but William Burroughs didn't have three sons."
[00:15:58.000 --> 00:16:08.000]   And I looked down at him. Another glorious accident. Theo. T-H-E-O. We snatched it out of the air, just in case it was a boy.
[00:16:08.000 --> 00:16:24.000]   Theo. Short for nothing. Short for the study of God. Theo. Spalding cray. And I kiss Kathy and cry and reach over and cut the umbilical cord and the crimson blood sprays.
[00:16:24.000 --> 00:16:39.000]   And I look down at his face and coming back at me is the big why. Why this? Why something and not nothing? And I totally empathize with this child and I also know that he's not picking it up from me.
[00:16:39.000 --> 00:17:00.000]   He's not been in the world long enough to be marrying me. He's brought this in with him. And I think, "Oh, little one, you may have spent the best days of your life already in there."
[00:17:00.000 --> 00:17:11.000]   It was the children that got me out of New York City, that drove me out. It was the double chaos factor. I had lived in New York City with two women before I met Kathy and didn't have children with either of them.
[00:17:11.000 --> 00:17:20.000]   And they were always kind of, it was sanctuary, coming back to the apartment or the loft and them nurturing me from the chaos of the city and how I loved to go out into that madness and then come back.
[00:17:20.000 --> 00:17:34.000]   But once I had children, I was going from madness to madness. There was no retreat. I first came to New York City to visit on September 29, 1959, inspired by the writings of Thomas Wolfe, those giant novels about the city.
[00:17:34.000 --> 00:17:42.000]   And I went up to the Riverside Cathedral bell tower and looked out over the city and made a pledge, a promise that I would move there and become a writer.
[00:17:42.000 --> 00:17:54.000]   And I did move there, but I never wrote about the city because I couldn't imagine it. I couldn't get, I mean, that's what finally attracted me to it, was that it was so chaotic that it should not have existed. It was like a miracle.
[00:17:54.000 --> 00:18:05.000]   It was like functional dysfunction or dysfunctional function. It was like my mom, only it was surviving. And that fascinated me. And I began to think it was only because it was going 24 hours.
[00:18:05.000 --> 00:18:14.000]   If it was ever to take a five-minute break, it might never start up again. In fact, it reminded me of a poster my mom put over our bed. It was a picture of a bumblebee when we were kids.
[00:18:14.000 --> 00:18:27.000]   And the big letter said, "The bumblebee cannot fly. And underneath, according to all aerodynamic laws, the relationship of the bee's wings to the body's sides will make it impossible to fly. But ignoring this, it flies anyway."
[00:18:27.000 --> 00:18:39.000]   That was New York City for me. And Forrest, my son Forrest, was born there, so he was a city kid. And I tried to wean him of the city by taking him when he was quite young, just a little over two.
[00:18:39.000 --> 00:18:51.000]   He wasn't quite two years old yet, I think, to Ethlin Institute in Big Sur, California. Some people think paradise on earth. He wouldn't let me put him down on the grass. He ran from flowers.
[00:18:51.000 --> 00:19:02.000]   When we got up to Berkeley, he got up to Berkeley, got on the pavement, he streaked down the sidewalk with a little flashlight going along Telegraph Avenue, shining the light in the homeless eyes. And at last, he'd come home.
[00:19:02.000 --> 00:19:13.000]   So I go back to New York City with him to re-experience it through his eyes. And I remember we went back to see the David Copperfield magic act on Broadway, and we were going up by subway. I always travel by subway in New York.
[00:19:13.000 --> 00:19:24.000]   And we were walking up West Broadway to go to the subway, and we come upon this guy with a huge, huge telescope. And I don't even know how he got it there on the corner of Spring Street and West Broadway.
[00:19:24.000 --> 00:19:35.000]   And for two dollars, you could look through it and see Saturn with its rings. We did it! Forrest saw Saturn. I saw Saturn. The first time I've seen Saturn. There, on the corner of West Broadway and Spring Street.
[00:19:35.000 --> 00:19:48.000]   A little further up, an old man in a pinstripe suit playing a Casio, taking a request from passers-by. Forrest requested hot cross buns. And he played it.
[00:19:48.000 --> 00:20:05.000]   In the subway now, the woman comes through. Ah, help! My daughter burned 60% of her body in a hotel fire. Shortly after that, I got the gangrene, lost three toes. See, the toes are missing. And you look down, and you see indeed, the shoe has been cut away and the toes aren't there.
[00:20:05.000 --> 00:20:20.000]   You figure it's an act, but it's a good act and deserves some money, and you give her some money. Forrest, give her some money. In now come the breakdancers and the guys with ghetto blasters, they put it down four feet from us, and they began to, whoa, they began to breakdance and moonwalk.
[00:20:20.000 --> 00:20:37.000]   They're doing the rock and roll. They're swinging around the subway poles, swinging off the straps. Forrest is a god. We get to the David Copperfield show. It's all right.
[00:20:37.000 --> 00:20:50.000]   And I roll over and see Theo sleeping, and I think I was told I would be waking up every four hours. No sleep deprivation. He's sleeping right through. But I'm waking up every four hours, listening to his breathing. He seems so barely in the world.
[00:20:50.000 --> 00:21:09.000]   He wakes up now and pops up, and Kathy is beside him waking up. He's looking out and pulling himself up on the back of the bed to look out the north window down into the village of Sag Harbor, and he's letting out with these little ooh and little cackles. He looks like a little toothless old Italian winemaker. He looks so ancient.
[00:21:09.000 --> 00:21:22.000]   He looks like a little American winemaker on the Italian Swiss colony bottles. And Kathy is up beside him saying, "Where's the light, Theo? Where's the light?" And now I leap up because I want to go take my shower and get my yoga done before the other children get up.
[00:21:22.000 --> 00:21:34.000]   Marissa and Forrest, I don't know where they are. The house is kind of big for them, and so they're sleeping in various places. They haven't settled down yet, and they have a sense it's haunted. Marissa claims she hears a tea party going on downstairs at 3 in the morning.
[00:21:34.000 --> 00:21:45.000]   Forrest says to the tag sale George Washington, the Gilbert Stewart unfinished George Washington we have over the fireplace, his eyes are following him. And last week, one winked at him.
[00:21:45.000 --> 00:21:57.000]   So they might be sleeping huddled together in Kathy's office or up in the attic. She will take care of rounding them up. I go in to take the quick shower and look down into the tub, and it's filled with plastic action figures.
[00:21:57.000 --> 00:22:12.000]   Oh my God, it reminds me of when I was having the affair with Kathy. I would go to her loft and use her bathroom and look down, and her daughter Marissa was probably three or four then, tub filled with broken Barbie dolls, headless Barbie dolls, little washing machines, plastic combs.
[00:22:12.000 --> 00:22:24.000]   I thought, that's one good reason for not having children. And now I look down, and it's as strange to me as the Volvo station wagon I'm driving with three bikes on the back, stuff from floor to ceiling.
[00:22:24.000 --> 00:22:44.000]   Three children in the back, two adults driving, one refereeing, and the other navigating. And I look down now at this tub filled with Ninja Turtles, Buzz Lightyear, Darth Vader, Luke Skywalker, R2D2, Spiderman, the Jurassic Rage Rig, long neck, sharp tooth.
[00:22:44.000 --> 00:22:57.000]   All the Power Rangers, Kimberly, Bobby, Tommy, and Adam, all floating up around my ankles like a plastic Busby Berkeley cartoon water ballet.
[00:22:57.000 --> 00:23:07.000]   Now down in the living room at last alone, I do my first yoga stretches. And I love this silence, and I love this room as I look around at the George Washington over the mantelpiece.
[00:23:07.000 --> 00:23:22.000]   And then the other George Washington over the couch, a more complicated one, George on his death bed. He's sitting up, rather startled, as if to say, "What? After Valley Forge, dying of a cold?"
[00:23:22.000 --> 00:23:32.000]   There's a woman weeping there beside him, "I take it to be Martha." There's two very professional looking men speculating like a combination of lawyers and doctors, "What, should we bleed him again?"
[00:23:32.000 --> 00:23:46.000]   And in the distance, some indifferent slaves looking actually like white minstrels dressed as blacks. And now the far end of the room is a glass door. Someone had put French doors in somewhere in the history of the house, so the whole door, the whole side of that room is light.
[00:23:46.000 --> 00:23:59.000]   And turning now as I stretch, I look out the window by the fireplace past the wingback chair and see in the distance the steeple, the other steeple. There are so many churches, we can see at least four from our house. There's probably as many churches as bars.
[00:23:59.000 --> 00:24:12.000]   And this one is the Catholic church steeple, not blown down, with a gold cross on top, and now the rose light is hitting that as the sun comes up. And I pull back, my eye pulls back to trees starting to turn now, yellowing along the street.
[00:24:12.000 --> 00:24:34.000]   And I think, trees. Ah, trees. How did I live so long without them? Thirty years in New York City, never had a view of a tree out my window. When I think of where I grew up in Barrington, Rhode Island, and that road I grew up on, Rumstick Road, which was a great in the summer, a great green archway of shade and tunnel of shade in summer.
[00:24:34.000 --> 00:24:50.000]   And then in the winter, the trees acted like dark black vocal chords to the winter wind howling as we ran between our house and the neighbors. And then it happened. My brother Rocky, who loved these trees and wanted to be a tree surgeon, came to me with headlines from the Providence Journal.
[00:24:50.000 --> 00:25:04.000]   It said, "Greatest ecological disaster to hit North America." Ninety-five percent of the trees wiped out by Dutch elm disease, and they started cutting them down, and I didn't recognize that town. It looked like a cowboy town in the southwest.
[00:25:04.000 --> 00:25:14.000]   Now Rocky got so upset about this, I don't know if it was puberty or the trees being cut down, but he suddenly no longer wanted to be a tree surgeon, he wanted to be a lumberjack in Maine.
[00:25:14.000 --> 00:25:26.000]   And he wanted to quit school and run away to Maine. My father wouldn't hear of it, but he'd run away anyway. And the way he'd run away, he wouldn't go out the front door. He would climb out his bedroom window, go along the gutter, shimmy down a pine tree, hitchhike to Maine.
[00:25:26.000 --> 00:25:38.000]   Get as far as the Rhode Island, Massachusetts border, the state police would pick him up, take him in, call my father at one, two in the morning, up he'd go, bring him back. And so it went until he figured out a way to get thrown out of high school.
[00:25:38.000 --> 00:25:54.000]   Rocky poured hydrochloric acid in the goldfish tank in biology class, and he threw him out. And he started living in our backyard, like a lumberjack in this L.L. Beam, red and black plaid shirt, in a little cabin he built from stolen wood from houses being built in the area.
[00:25:54.000 --> 00:26:04.000]   Making a Mazo instant chocolate pudding with my mother's little egg beater. Now my father, never a man for corporal punishment. I have to give him credit, he never struck any of his sons.
[00:26:04.000 --> 00:26:12.000]   My father was a creative man, I think that he felt that living and dying in this world was punishment enough.
[00:26:12.000 --> 00:26:19.000]   He went to the town of Barrington and had them bring all of the elm trees they chopped down from Rumstick Road and pile them in this huge pile in our yard.
[00:26:19.000 --> 00:26:27.000]   And gave my brother Rocky a hand saw and said, "You want to be a lumberjack? Start cutting. We'll have firewood for a lifetime."
[00:26:27.000 --> 00:26:43.000]   And so he was out there cutting and cutting and cutting and cutting. And I have to give my father credit. Because I understand now, being a father, how much discipline it takes not to strike your son, and I have to admit.
[00:26:43.000 --> 00:26:59.000]   I did it once, early on with Forrest, I have to confess. He was just a little over two I think. And we took him, Kathy and I, to a vacation in Western Ireland. And we had a wonderful time because the sun came out one day.
[00:26:59.000 --> 00:27:16.000]   It was in July, what a glorious day it was. We were on the beach, and it was like going back to Forrest's age when I was in Seconnet, Rhode Island in 1943, seeing it through his eyes.
[00:27:16.000 --> 00:27:22.000]   Then in Seconnet it was pristine like Ireland and green with dairy cows grazing. I hadn't even heard the word cancer yet.
[00:27:22.000 --> 00:27:31.000]   And there too, it was like this with these cows, no houses around, I was in the ocean swimming, Kathy was jogging on the beach, Forrest was playing naked in a tidal pool.
[00:27:31.000 --> 00:27:43.000]   And I thought I was, at that moment, one of the happiest I'd ever been. And I came out and there was this perfect bonding moment in which I took Forrest in my arms and began to spin him around in that tidal pool.
[00:27:43.000 --> 00:27:53.000]   And as I was spinning him around I looked down at my thighs and saw these unbelievable purple, yellow, and green flowering bruises.
[00:27:53.000 --> 00:28:03.000]   And immediately I reached back into my Hara chamber of memories and pulled up an Ethson workshop I had done at Big Sur in Autobiographic Storytelling where a woman told a story about losing her leg to cancer.
[00:28:03.000 --> 00:28:18.000]   And she said I first knew something was wrong when I saw those awful purple bruises. And I just collapsed with Forrest in my arms and Kathy chocked over going, "What is wrong?" I said, "I've got the leg cancer."
[00:28:18.000 --> 00:28:27.000]   She goes, "You still can't take a vacation? You're not going to mess this one up." She said, "We're going to a doctor immediately so we'll get this cleared up."
[00:28:27.000 --> 00:28:41.000]   So we go to Galway to a doctor and I have to tell you I like this man right away. I walk in and he goes, "Alright, you don't know me and I don't know you so there's no sense in trusting each other right off."
[00:28:41.000 --> 00:28:55.000]   "So you think you have the leg cancer then?" "Well they have to be doing some tests on the platelet and the clotting factor. The blood will have to go to a laboratory so that gives about four days before you know so go have a party, have a ball."
[00:28:55.000 --> 00:29:04.000]   He is right. My God, he took the fear of death, took it all right off me, took it to the laboratory. I was able to relax for four wonderful days. We're canoeing outside Galway.
[00:29:04.000 --> 00:29:15.000]   But as that fourth day came towards six o'clock, oh it's like the Rumpelstiltskin complex. I'm going, "Oh, oh, oh, oh, Kathy, you give him a call. Find out what's up. I'm going down to get a drink in the bar."
[00:29:15.000 --> 00:29:22.000]   She goes, "They're not going to tell me anything over the phone. You have to call them directly." "Oh, it's Ireland. They might do it here in Ireland."
[00:29:22.000 --> 00:29:30.000]   So I go down and I got a Guinness and a Jameson's neat and I come back up and she goes, "He says you're going to have to call him directly."
[00:29:30.000 --> 00:29:37.000]   I said, "Oh no. Oh God, let me sit down. Shake his up, shake his up, shake his up."
