[00:00:40.400 --> 00:00:47.680]   Thanks for coming out.
[00:04:30.200 --> 00:04:39.200]   Oh, they were sympathetic, of course, but they weren't going to move. They told Dad that Mom's missing the bay was only a symptom of some larger problem.
[00:04:39.200 --> 00:04:45.200]   What could be larger than the problem of Narragansett Bay, except the ocean, I wondered.
[00:04:45.200 --> 00:04:56.200]   Perhaps a woman might miss a bay so much that it would drive her mad. Only the Narragansett Indians would know about that, and they were all gone.
[00:04:56.200 --> 00:05:10.200]   Maybe Mom was a reincarnation of an Narragansett Indian, I began to muse. Maybe she was tapped into the bay so much that she became the bay, but had no words for her condition.
[00:05:10.200 --> 00:05:18.200]   What does "I miss the bay" really mean? It all depends on who's saying it, right? And when Mom said it, we trembled, we all trembled.
[00:05:18.200 --> 00:05:33.200]   Dad had a good sense to rent a bathhouse for Mom down at the coast at Bonnet Shore. Of course, that was not the same as stepping out on the lawn and having your head open up over the bay, but at least it was the ocean.
[00:05:33.200 --> 00:05:41.200]   We had to drive 45 minutes to get there, which is a problem because we had to go down Route 2 by Rhode Island standards, a rather fast and crowded highway.
[00:05:41.200 --> 00:05:53.200]   I could see how driving on that road could make Mom real confused, especially since she was on some sort of medication, when she had just returned from having these electric shock treatments.
[00:05:53.200 --> 00:06:05.200]   So I always drove her to the beach. She hadn't made any friends on this side of the bay, and I couldn't bear seeing her go alone. But the truth was, I was sure that she wouldn't make it to the beach by herself.
[00:06:05.200 --> 00:06:19.200]   On nice summer days, we tried to get to the beach as often as we could. At first, the shock treatment seemed to be working pretty well, because except for the occasional bird flutter in her eye, she apparently was coping, which put Dad at ease.
[00:06:19.200 --> 00:06:32.200]   So Mom and I had a few days that were actually quite relaxed. We lay on the beach and dozed in the sun, both of us catching up on our much-needed sleep, while the distant waves and children's voices played like lulling music in our ears.
[00:06:32.200 --> 00:06:45.200]   But sometime around the second week Mom was home, it slowly started up again. The effects of the shock treatment were wearing off. She turned on those old "what ifs," those old "maybe I should have," the regret mechanism began.
[00:06:45.200 --> 00:06:57.200]   She'd say things like, "Maybe I should have been a better mother. Do you really think that? Or maybe I should have gone to Spain when Coleman invited me and I had enough money to go, when I had the money to go visit him.
[00:06:57.200 --> 00:07:06.200]   Or maybe I shouldn't have stolen you boys away from your father." And then she turned to me and said, "Do you think I stole you away from your father? Do you think that I was a good mother?"
[00:07:06.200 --> 00:07:18.200]   These questions made me very uneasy and confused. Deep down inside I thought that she'd been a good mother. If she'd been a good mother, I'd been able to be not there. I'd be somewhere else with my own woman.
[00:07:18.200 --> 00:07:27.200]   I could have been able to have flown the nest by then. I wanted in the worst way to fly the nest, to get out, but still I couldn't.
[00:07:27.200 --> 00:07:41.200]   When I was sixteen, my brother Coleman was nineteen, Mom would sometimes take a bath upstairs in the upstairs bathroom and not lock the door. And Cole and I, instead of using the downstairs bathroom, would go upstairs and pee while we looked over our shoulder at her.
[00:07:41.200 --> 00:07:57.200]   It was like this kind of odd peep show. She let us look as long as we wanted, which was never long enough before we could get a good and steady look, Dad would come to the bottom of the stairs and shout, "Are you fellows?" Dad always called us fellows when reprimanding us.
[00:07:57.200 --> 00:08:10.200]   "Are you fellows up there in that bathroom with your mother again? I don't like that one bit. And I don't want to have to come up there." Dad didn't like it. That was one of the few things I can remember him thinking was wrong.
[00:08:10.200 --> 00:08:21.200]   On those frantic summer nights, after her return from the sanitarium, I would often try to calm Mom down by taking her to the movies, just to get us both out of the house and give Dad a relief.
[00:08:21.200 --> 00:08:34.200]   There were no Bergman films, no new Bergman films around, and Mom recently had seen Sound of Music at the sanitarium. So one night I made a big mistake. I took Mom to the recently released film Who's Afraid of Virginia Woolf?
[00:08:34.200 --> 00:08:48.200]   She wanted to go because she had this fascination with the life of Virginia Woolf. I'm not sure that she knew Virginia Woolf's books all that well, but she did know the story of how Woolf ended her life by filling her pockets with rocks and walking into a river.
[00:08:48.200 --> 00:08:57.200]   She seemed to know the story as well as she knew the story of how Hart Crane, one depressed morning, walked off the stern of a cruise ship in the Gulf of Mexico, never to be seen again.
[00:08:57.200 --> 00:09:14.200]   At that time, I didn't know what effect the film would have on Mom. I did notice how quiet she was as we rode home, but didn't find out how disturbed she really was until Dad told me the following morning, he said, "I think you took your mother to the wrong movie last night."
[00:09:14.200 --> 00:09:30.200]   "She's so upset, we may have to take her back to the sanitarium for shock treatments." At that time, I felt like saying, "Well, why didn't you take her to the movies then? You choose a good film to take her to." Outside of The Ten Commandments, which wasn't on the summer circuit that year, I didn't know what to choose.
[00:09:30.200 --> 00:09:35.200]   Some years back, I had taken Mom to see The Ten Commandments and she just loved it.
[00:09:35.200 --> 00:09:48.200]   Well, it did turn out that Virginia Woolf was a mistake because Mom completely identified with the role of Martha, which was played by Elizabeth Taylor. In fact, Dad told me that Mom thought she was Martha the next morning.
[00:09:48.200 --> 00:09:58.200]   She went into one of those funky tailspins. I had to spend the next beautiful summer day indoors with her while she flew around the house like a frightened bird again, like that bird that couldn't get out.
[00:09:58.200 --> 00:10:06.200]   That was the bad day. I remember it well because it was the day when she first told me right out how she planned to do it, how she planned to do away with herself.
[00:10:06.200 --> 00:10:19.200]   The whole morning, she was pulling her hair and picking at her ears until they bled. She had a little bald spot now in the back of her head from tearing her hair out, just like people in the movies when they're supposed to be going mad.
[00:10:19.200 --> 00:10:28.200]   I would try to calm her down by reading to her from my favorite book of the time, Alan Watts's Psychotherapy East and West. But this didn't seem to help at all.
[00:10:28.200 --> 00:10:36.200]   She wanted to read from The Christian Science and Health by Mary Baker Eddy, but she couldn't sit still long enough to read.
[00:10:36.200 --> 00:10:43.200]   So at last, sometime in mid-morning, when she seemed to be about ready to pop, Mom began calling her Christian Science practitioner on the phone.
[00:10:43.200 --> 00:10:50.200]   And she just stood there repeating after him what he told her, which seemed to be rather incoherent passages from The Science and Health.
[00:10:50.200 --> 00:11:04.200]   I was never sure what he was saying to her because Mom would repeat it, halting, confused, things like, "Era is unreal because untrue. All reality is God and his creation harmonious and eternal.
[00:11:04.200 --> 00:11:14.200]   That which he creates is good and he makes all that is made." Then there was a long sentence which Mom was barely able to repeat back to him, back to the practitioner,
[00:11:14.200 --> 00:11:20.200]   because she was too distracted, perhaps by the raving image of Elizabeth Taylor playing Martha in her mind.
[00:11:20.200 --> 00:11:29.200]   But she was able to get out just once that she said it slowly back to him, like a child trying to memorize a secret code. She said it once, all the way through.
[00:11:29.200 --> 00:11:42.200]   "Therefore, the only reality of sin, sickness and death is the awful fact that unreality seem real to the human erring mind until God strips off that disguise."
[00:11:42.200 --> 00:11:51.200]   The practitioner went on as Mom paced and pulled and stretched the phone cord until it almost broke, pulling the phone off the wall, almost pulling the phone off the wall.
[00:11:51.200 --> 00:12:02.200]   As she repeated the phrase over and over, "The science of mind disposes of all evil. Truth, God is not father of era. Man is not matter, he is spirit. Man is made in the image and likeness of God."
[00:12:02.200 --> 00:12:13.200]   Then the practitioner hung up and Mom held the phone and looked at it with a crazy scowl, like a little kid who had finally managed after years to get in touch with Santa Claus on the telephone.
[00:12:13.200 --> 00:12:25.200]   And right in the middle of asking for everything she ever wanted, got cut off. Then Mom hung up and began to pace again, and tear at her hair, and pick at her ears, and try to repeat the phrases that the practitioner told her.
[00:12:25.200 --> 00:12:30.200]   But they came out all mixed up and broken, like, "Disposes of evil. Man is not era. Era is not man."
[00:12:30.200 --> 00:12:41.200]   I just sat there on the couch, I just sat there, staring at her, thinking, "What the fuck is happening to this woman? The whole world is breaking down and falling apart. The whole house is shifting."
[00:12:41.200 --> 00:12:47.200]   I was getting dizzy and I had to run outside where I threw up green stomach bile and ended up with dry heels.
[00:12:47.200 --> 00:12:53.200]   When I came back in, the frantic bird-like creature was running around from window to window as though she couldn't get out.
[00:12:53.200 --> 00:13:02.200]   That was the day I clearly saw, once again, how like a sky hook that wasn't there when she needed it, the Christian science wasn't working for Mom.
[00:13:02.200 --> 00:13:15.200]   It was one of those "pull yourself up by your own bootstraps" situations. But there were no more bootstraps. One part of the mind has to be the bootstraps for the other part, and all the parts of Mom's mind seem to be gone.
[00:13:15.200 --> 00:13:23.200]   By late morning, Mom had decided to take a bath. I wanted to trust her, but I couldn't stop myself from pacing outside the bathroom door.
[00:13:23.200 --> 00:13:29.200]   Calling in every so often over the sound of the running water, the sound of the light splashing in the tub, produced even more fear in my mind.
[00:13:29.200 --> 00:13:38.200]   "Are you alright in there?" I called in. But there was no answer, just little sounds of water splashing. I was sure she hadn't a straight edge razor.
[00:13:38.200 --> 00:13:45.200]   I knew we didn't have one in the house, and I didn't think that she'd be capable of driving anywhere to purchase one.
[00:13:45.200 --> 00:13:56.200]   After her bath, Mom seemed calmer. She came out dressed in her pink robe, looking just like a normal suburban housewife, and curled up on the couch to read her Christian Science monitor.
[00:13:56.200 --> 00:14:05.200]   I thought, now, that she was a little calmer, it might be good to try again to introduce her to a few well-chosen passages from Alan Watts.
[00:14:05.200 --> 00:14:15.200]   But Mom was not about to hear it. As soon as I started to read to her, she lifted the newspaper up to make a kind of paper wall between us.
[00:14:15.200 --> 00:14:26.200]   I put my finger, I put all my anger into my index finger, curled it back tight against my thumb, fired, and hit the paper wall with a hard snap. Pop!
[00:14:26.200 --> 00:14:30.200]   My finger exploded against the newspaper like a shot, and Mom almost jumped off the couch.
[00:14:30.200 --> 00:14:40.200]   Then, quickly, recomposing herself, she looked me clearly and directly in the eye, and with that crazy bird gone out of her now, she said,
[00:14:40.200 --> 00:14:52.200]   "Oh Brewster, oh Brewster dear, how shall I do it? How shall I do away with myself? Shall I do it in the garage with the car?"
[00:14:52.200 --> 00:15:05.200]   I don't remember what happened after that. I don't know if I said anything back. I was amazed at her clarity. Something inside me knew that for her it was the time to go, that she'd made the decision.
[00:15:05.200 --> 00:15:17.200]   I made no effort to hide the keys to either of the cars. I did not tell Dad what she'd said to me. It was as though Mom and I had made one last private pact together.
[00:15:17.200 --> 00:15:33.200]   Perhaps I was trying to help some sad, sick part of her, which had now become almost the only part of her left, to die. But it was not as clear to me then as it seemed to be to her.
[00:15:33.200 --> 00:15:42.200]   That night, things got a little better before they got worse again. Every night, around the traditional cocktail hour, Mom would seem to get worse.
[00:15:42.200 --> 00:15:54.200]   She'd go into that double bind behavior, by then she was looking at Dad as her keeper, and she knew that if she acted weird in any way, that he'd pack her off to the sanitarium again.
[00:15:54.200 --> 00:16:10.200]   But the effort to act sane only made her more insane. Every night, just before Dad was due home, she would go try to make dinner, and end up standing over the stove, staring out the window into the encroaching woods like some fearful pilgrim anticipating an Indian attack.
[00:16:10.200 --> 00:16:29.200]   She'd just stand there, stamping her saddle shoes, which made her look like a weird cheerleader. She'd stamp and stand and stamp and stare, and trying to get together and cook frozen peas, saying over and over like, "Don't let your father see me this way. I'm alright, I'm okay, I'm a perfect reflection of God, there is no error. Please don't let your father see me this way."
[00:16:29.200 --> 00:16:41.200]   Then Dad would come home and give her a peck on the cheek, and she'd relax a little bit, and ease into making the rest of the dinner, bird-like, mad bird-like flutters of panic surfacing here and there again.
[00:16:41.200 --> 00:16:50.200]   Then Dad would fix himself a tall bourbon, and seeing that crazy bird in there again, would begin to realize things weren't going so well.
[00:16:50.200 --> 00:16:58.200]   It was just the three of us then. Topher was away with Graham, and Cole was in Spain studying some dead existential Spanish writer.
[00:16:58.200 --> 00:17:06.200]   The three of us were remained in this strange kind of triangle. I was afraid to pull out because I thought that the whole thing would collapse.
[00:17:06.200 --> 00:17:15.200]   Only a void would be left, some dark, yawning, impossible gap, only darkness after so many years of shared history, of good and bad times together.
[00:17:15.200 --> 00:17:29.200]   Odd, or worse than odd, that it should come to this after all these years, the mother bird gone mad, and yet that night, who's afraid of Virginia Woolf, and yet that night after who's afraid of Virginia Woolf,
[00:17:29.200 --> 00:17:42.200]   we were still able to rally, after all the confusion and madness of the day, and Mom's confessions of wanting to do away with herself, we were still able to rally around Dad's surprising suggestion that we all go to the movies together.
[00:17:42.200 --> 00:17:56.200]   At last, Dad had come through with flying colors. Not only did he want to go to the movies, but he wanted to go to a drive-in to see, of all things, Mary Poppins, which he probably thought would be a healthy antidote to the horrors of Virginia Woolf.
[00:17:56.200 --> 00:18:03.200]   I laughed to myself at the thought of Virginia Woolf meeting Mary Poppins and some stark New England Moor.
[00:18:03.200 --> 00:18:16.200]   We went in Mom's car, a red Corvair convertible. It was a warm summer night, and Dad even put the top down. At the last minute, I thought it might be fun for me to try to get in free.
[00:18:16.200 --> 00:18:30.200]   So I took a blanket off the back seat, lay down on the back floor, covered myself. I could tell that Dad was proud in some way about, almost like he thought I was being enterprising or something.
[00:18:30.200 --> 00:18:42.200]   For a moment, Mom even slipped back into her old normal self, and suddenly we were all together again. Mom and Dad were sitting in the front seat like lovers, and I was wrapped in the blanket on the back floor like a child waiting to be born.
[00:18:42.200 --> 00:19:05.200]   The following day, things took a turn for the worse. Mom hadn't slept that night, she became like an anxious bird again, and when Dad went to pack up her little suitcase to take her back to the sanitarium, she got even wilder, running from room to room, trying to avoid being caught, and put back in that cage for those awful shock treatments she couldn't bear.
[00:19:05.200 --> 00:19:18.200]   At last, completely exasperated, Dad asked me to help round her up and get her into the Corvair, which by now had the top up. She tried to call her Christian Science practitioner, but Dad wouldn't allow it.
[00:19:18.200 --> 00:19:33.200]   He made her get in the front seat between the two of us so she wouldn't try to jump out. I was as firm as I could be with her, but my words sounded hollow and distant, as if I were doing a bad reading of someone else's script.
[00:19:33.200 --> 00:19:38.200]   "Come on, Mom, we are only trying to do what's best for you."
[00:19:38.200 --> 00:19:58.200]   The trip to the sanitarium was one of those rides that takes no time and forever. At last, when we were right outside the heavy stone gates, so different from the Happy Gates of the drive-in movie the night before, Mom pulled her hand away from mine, and putting both hands over her mouth,
[00:19:58.200 --> 00:20:19.200]   she looked up at the gates of the sanitarium, taking her hands away, she cried out in horror, "Oh my God, my God, why hast thou forsaken me?"
[00:20:19.200 --> 00:20:36.200]   Now I think the book is a very humorous book, it's a very funny book, but it's also about a reaction to absence of mourning, or absence of grief, in the character of Bruce De Noth.
[00:20:36.200 --> 00:20:55.200]   So what he continues to do is act out a lot, rather than grieve, and of course can't find the right place to be ever, he's in constant motion, so that's the kind of impossible vacation, you can't vacate, so he's always on these quests and trips,
[00:20:55.200 --> 00:21:12.200]   because he's feeling this enormous guilt, because his mother commits suicide when he's in Mexico, so he's not there for it, he returns only to find ashes in a box, and so he is able to have a relationship with a woman named Meg,
[00:21:12.200 --> 00:21:26.200]   and later on in the book, here in this passage I'm going to read, that he and Meg, one of their quests go to India, Meg is going to India to buy Kashmiri rugs to sell in the flea market,
[00:21:26.200 --> 00:21:45.200]   and Brewster is going to visit Rajneesh in Pune, because he's sexually obsessed, this is one of the results of the absence of mourning, he's become a sexual obsessive, and he wants to get laid endlessly, and he's heard that you can do this in Pune,
[00:21:45.200 --> 00:22:03.200]   the sexiest sounding town in India, at the Rajneesh Puram, in 1976 this is, and he is accompanying Meg, his girlfriend over there, and she's going to split off, and he can go do what he wants, and she says I'm going to buy a rug, something's disease free and lasting,
[00:22:03.200 --> 00:22:22.200]   you can go to the ashram or do what you want in Pune, and then we'll hitch up later, so Meg does go off and buys these rugs, she imports to America to try to make a living from that, and Brewster goes to visit Rajneesh, but is absolutely unable to put on orange,
[00:22:22.200 --> 00:22:38.200]   it's repulsive, it's a color he can't bear, and everyone's wearing orange in the ashram, and he is the only one there that's wearing beige pajamas in the whole ashram, and can't bow down to this man, cannot do it, but he's there, and he's going through hell, because he's gone all the way there,
[00:22:38.200 --> 00:22:58.200]   but finds it very difficult to bow down, and so he flies back with Meg eventually, having failed, but his failure at having accomplished this sexual orgy that he fantasized, assaults him, and he can only visualize what he would have done had he stayed in India,
[00:22:58.200 --> 00:23:12.200]   and he's obsessed with the perfect orgies that would have happened, and when he gets to Amsterdam he gets sexually obsessed, because what's happening is that his Kundalini is beginning to come up, instead of India, in Amsterdam, in the wrong place,
[00:23:12.200 --> 00:23:30.200]   and he gets obsessed with, and he wants to both, he's reading Norman Brown's Life Against Death, and he wants to integrate work and pleasure, he's got this Neo-Freudian idea where he wants to do the two, and he goes all around Amsterdam trying to do live sex shows,
[00:23:30.200 --> 00:23:52.200]   but he can't find a partner, you see, and they won't employ him without a female partner, so he fails at that, has a wild time in a gay bath in Amsterdam, and for the first time in his life enters into passive sex with a man, and that really spins him out,
[00:23:52.200 --> 00:24:03.200]   and then Meg shows up from India, she's flying in on her own, and wants to go back to the States, see Bruce is not in good shape for the 4th of July bicentennial of all things,
[00:24:03.200 --> 00:24:13.200]   and convinces Bruce that he should go back, but when he gets to the airport he cannot make up his decision to get on the plane, and freaks out, and the bags have all been checked on the plane,
[00:24:13.200 --> 00:24:29.200]   and he asks the stewardess at the last minute, can the bags get off the plane, and she says we can call now and have them taken off, are you sure you want to stay, I said no, no, no, I do, I don't, he says yes, no, yes, no, well leave them on, I'll stay here in Amsterdam, I don't want the bags,
[00:24:29.200 --> 00:24:39.200]   she said I'm afraid you cannot fly without your bags, so he ends up accompanying his bags back to New York City, this is how he gets back, because he's riding with his bags,
[00:24:39.200 --> 00:24:50.200]   he does not sit with his girlfriend Meg on the plane, she doesn't even know he's on, he's pretty flipped out, he gets back, and he feels that he cannot bear the bicentennial,
[00:24:50.200 --> 00:25:00.200]   he does not want to see fireworks, the tall ships, anything, he wants to hide out at his father's home in Rhode Island, and his father is remarried after his mother's suicide,
[00:25:00.200 --> 00:25:10.200]   and he's married a woman that lives down the road, whose husband drank himself to death shortly after Bruce's mother killed herself, so they both got together in that New England kind of way,
[00:25:10.200 --> 00:25:30.200]   to be drinking companions basically for the rest of their lives, and live in this ranch house that's kind of their pleasure dome, they both, actually the wife, the stepmother's son was in Vietnam,
[00:25:30.200 --> 00:25:43.200]   she was treated to heroin and was crashing with a bunch of other addicts in her farmhouse and burned the place down, so that house went, and Bruce's father sold the house where the suicide was,
[00:25:43.200 --> 00:25:52.200]   so now they're in their own pleasure dome, and Meg and Bruce are going to visit them at 4th of July to hide out.
[00:25:52.200 --> 00:26:03.200]   Again, Babs and Dad married less than a year after both their mates did themselves in, I didn't blame them for that, it must have been hell to live alone, swamped in that painful memories,
[00:26:03.200 --> 00:26:13.200]   Babs' family was less tolerant of the new marriage, and her older son was acting like Hamlet, when he complains about the mother getting married before the funeral meets a cold,
[00:26:13.200 --> 00:26:24.200]   he'd have nothing to do with Dad or Babs after the wedding, her younger son was more demonstrative, he had just returned from Vietnam addicted to heroin and ended up burning down Babs' old farmhouse with all her antiques in it,
[00:26:24.200 --> 00:26:35.200]   when he was stoned, crashing with a bunch of NAMM buddies, they got out before the fire got them, but the farmhouse was a total loss, by then Dad and Babs had moved into their new home,
[00:26:35.200 --> 00:26:49.200]   just down the road from that dark spot where Mom had died in the driveway, some history of pain, I went over again myself out loud to Meg, who stared ahead at the holiday rush,
[00:26:49.200 --> 00:27:03.200]   Meg is driving the van, holiday rush like a freaked out fighter pilot trying to land her plane, as we pulled into the black asphalt driveway, we saw the whole yard as an immaculate stage setting that gave our eyes some rest after that hectic highway,
[00:27:03.200 --> 00:27:17.200]   it was a blessed order, perhaps the result of a fascist mind, but certainly the best part of it, the fresh cut lawn is well kept as a golf course, the flagpole with American flag fluttering slightly in a gentle southeasterly breeze up from Narragansett Bay,
[00:27:17.200 --> 00:27:29.200]   which lay in a distance far below, Dad and Babs must have been on the lookout for us, most likely for the entire morning's activity, because as soon as Meg parked our van, they came out the front door onto the flagstone terrace to greet us,
[00:27:29.200 --> 00:27:42.200]   Dad cried, "Hi Ho! Hi Ho! Hi Ho!" in some strange parody of a party voice, like an actor who is standing close but pretending on stage, but he's making the voice sound as though it's coming from far away,
[00:27:42.200 --> 00:27:54.200]   "Hi kids!" Babs said, and Meg and I both delivered the obligatory pecks on Babs's weathered leathery face with a rosy glow of ruptured capillaries,
[00:27:54.200 --> 00:28:04.200]   then there was the obligatory bundle of why a hug with Dad, followed by the old quick pat on the back, an almost pleading signal for release from too much intimacy,
[00:28:04.200 --> 00:28:14.200]   we all backed away from each other, and Meg and I had arrived, as soon as I stepped into the house, the panic began, I kept having flashes of India, Amsterdam, fantasies of Bali,
[00:28:14.200 --> 00:28:31.200]   I kept thinking, I could be in Bali now rather than here, every time I thought that I'd realized that I wasn't in either place, I wasn't in Rhode Island and I wasn't in Bali, I was stuck like some tortured ghost in a self-created limbo between one place I'd seen too much of and another place I'd never seen at all,
[00:28:31.200 --> 00:28:43.200]   when I saw Dad's bright blue swimming pool out the living room window, it occurred to me that that was exactly why I wanted to be there, that was the reason I'd come home in the first place, I'd come home so that I could swim in Dad's pool,
[00:28:43.200 --> 00:28:53.200]   I sensed that the only thing that could bring me back into this world was an immersed myself in it and I rushed to charge into my speedo swimsuit, while Meg brought in the bags into the guest room,
[00:28:53.200 --> 00:29:03.200]   Babs went into the kitchen to start dinner and Dad followed me around the house asking me what I was doing, as I did the obvious and then commented on it for him,
[00:29:03.200 --> 00:29:17.200]   now I'm changing into my swimsuit Dad, now I'm going for a swim in the pool Dad, no Dad don't worry I won't drown Dad, I won't drown it's alright, stepping into the backyard was like walking into a Kodachrome Hollywood postcard synthetic reality,
[00:29:17.200 --> 00:29:39.200]   the very unreality of it allowed me to be there as I stepped out a little chilled in my new slim fatless body and string in my speedo brief pulled tight pulling up the slack, above the pool was a powder blue sky with streaks of pink from the descending sun as the sliver of the new moon had just been seen,
[00:29:39.200 --> 00:29:52.200]   below the expansive blue framed by a high wooden fence and surrounded by a black patio was the other blue, that magnificent protected pool and it's deck of dark green astroturf,
[00:29:52.200 --> 00:30:08.200]   I could feel the turfs cool oily resilience under my bare feet as I moved toward the perfectly heated water and plunged, that dive and the mad splash facing down beating strokes carried me to the other end of the pool and made me feel that I had arrived at last, I was in my body at last,
[00:30:08.200 --> 00:30:22.200]   but the feeling was almost instantly broken by Dad's following me around the edge of the pool with his ongoing chattering commentary about how he had measured the temperature to steady 76 degrees all day and didn't I want to have a look at the new automatic robot pool cleaner,
[00:30:22.200 --> 00:30:39.200]   it was also broken by Babs calling from the kitchen window, my goodness Brewster, we're going to have to put some fat on that body of yours, looks like India's turned you two kids into skeletons, I was so excited by the fact that Babs acknowledged our trip to India that I didn't care that she'd broken the picture of perfection,
[00:30:39.200 --> 00:31:00.200]   I was still swimming when my body sensed or anticipated a kind of intuition of fluids and liquids, the encroaching cocktail hour, the cast of melancholy light breaking over the tops of distant elms and maples sent turn swallows and sparrows flying home to their night nests and left me sad, empty, lonely, chirping robins and distant lawns,
[00:31:00.200 --> 00:31:15.200]   all of this made the entire swimming pool feel like a giant dry martini and gave me a sign that it was at last cocktail hour, I pulled myself out, wrapped myself in Babs big fluffy brightly colored bath towel and went into change,
[00:31:15.200 --> 00:31:35.200]   as Meg and I passed through the dustless posh wall to wall carpeted living room, we saw Babs nervously thumbing through house and garden, waiting for dad, who paced by one of the antique grandfather clocks to give the official bartenders okay, the clock said five of five and I could feel that familiar tense anticipation grow in the room,
[00:31:35.200 --> 00:31:48.200]   as the hands of the clock slowly moved round and struck 12345 in all the tension of the day gave way as dad said it last in his formal bartenders voice.
[00:31:48.200 --> 00:31:54.200]   May I fix you a drink, Mrs. North
[00:31:54.200 --> 00:31:59.200]   Babs put down her magazine as if she was surprised by this offer.
[00:31:59.200 --> 00:32:07.200]   She just sat there for a moment pretending to consider it as if she might at any moment say no and order cranberry juice instead.
[00:32:07.200 --> 00:32:18.200]   And then in the most casual tone she would could deliver and then she should live it as convincingly as a good actress might Babs said, Well, I don't mind if I do, Mr. North.
[00:32:18.200 --> 00:32:23.200]   Do you think you could fix me a dry martini with three onions?
[00:32:23.200 --> 00:32:36.200]   And Mr. North answered, Well, I don't know why not. And they were off for the glorious cocktail ritual Babs going into the TV room to turn on the local news while dad headed for the bar to begin his measuring and pouring.
[00:32:36.200 --> 00:32:44.200]   Soon the tinkle of ice against glass blended with the local news and music played from every corner of the room before dad.
[00:32:44.200 --> 00:32:56.200]   Before mom died in the early years, while we were growing up, there was no formal cocktail hour in our home, perhaps because mom didn't drink and dad drank very little in those days, he kept his bottles out of sight.
[00:32:56.200 --> 00:33:07.200]   When he opened the liquor cabin in the dining room, he always took a bottle of bourbon out and measured it out carefully. He used to make two tall bourbons and waters when he drank sequentially just to relax.
[00:33:07.200 --> 00:33:18.200]   But now the dad had a wife who was a drinking partner, the bottles were proudly displaced sitting in a fully equipped bar with lots of cocktail accessories. It looked like a little altar.
[00:33:18.200 --> 00:33:27.200]   Although Babs had a vision of herself as a gourmet cook, it was not so easy for her to drink and cook gourmet meals at the same time.
[00:33:27.200 --> 00:33:36.200]   We were usually doomed to raw meat and oversteamed vegetables. For some reason, it never went the other way. We never ended up with raw vegetables and overcooked meat.
[00:33:36.200 --> 00:33:45.200]   I guess it was because dad's needs. Only dad knew how to cook steak while completely high in bourbon and dad wasn't cooking that night.
[00:33:45.200 --> 00:33:53.200]   He was waiting for the fourth of July for the big barbecue. That night, Babs served us frozen frog's legs.
[00:33:53.200 --> 00:34:03.200]   They came out on a plate and looked like the hairless amputated legs of Lilliputian Olympic runners.
[00:34:03.200 --> 00:34:11.200]   Meg and I both rolled our eyes and looked across at each other. It was funny how Babs' cooking was bringing Meg and me closer together.
[00:34:11.200 --> 00:34:21.200]   Babs slipped the hairless little legs, garnished the posse on a TV table somewhere in the middle of the national news report about tall ships.
